Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company,Weekend,Daytime
1673,18.27,42.02,0.0,0.0,42.02,Cash,Flash Cab,False,False
904,6.07,17.75,4.56,0.0,22.81,Credit Card,Taxicab Insurance Agency Llc,False,False
1358,18.27,45.0,7.58,5.0,58.08,Credit Card,Globe Taxi,False,False
7201,8.17,54.0,16.35,0.0,70.85,Credit Card,Flash Cab,False,True
854,2.11,10.5,0.0,0.0,10.5,Cash,Sun Taxi,True,True
600,1.3,7.5,3.0,1.0,11.5,Credit Card,Taxi Affiliation Services,False,True
2140,17.13,42.5,7.35,6.0,56.35,Credit Card,Taxicab Insurance Agency Llc,False,True
233,0.53,5.0,2.0,0.0,7.5,Credit Card,Flash Cab,False,True
660,5.5,16.0,5.1,4.0,25.1,Credit Card,Taxi Affiliation Services,True,False
2071,15.22,39.0,8.7,4.0,52.2,Credit Card,Sun Taxi,False,False
1682,4.82,18.69,5.52,0.0,24.21,Mobile,City Service,False,False
2908,6.32,20.79,3.63,0.0,24.42,Mobile,Medallion Leasin,False,True
716,3.43,12.25,0.0,0.0,12.25,Cash,Flash Cab,False,False
394,0.98,6.25,0.0,0.0,6.25,Cash,Globe Taxi,True,True
466,1.35,9.0,1.08,0.0,10.08,Mobile,Blue Ribbon Taxi Association,False,True
960,0.5,23.25,0.0,0.0,23.25,Unknown,Taxi Affiliation Services,False,True
574,1.4,7.75,2.0,0.0,10.25,Credit Card,Globe Taxi,False,True
2631,3.79,23.25,0.0,0.0,23.25,Cash,Sun Taxi,True,True
1493,12.67,33.0,5.0,5.0,43.5,Credit Card,Flash Cab,True,False
1002,6.49,19.0,3.9,0.0,23.4,Credit Card,Medallion Leasin,False,False
1551,13.42,36.0,0.0,0.0,36.0,Prcard,Flash Cab,False,False
1188,17.14,41.75,7.01,4.5,53.76,Credit Card,5 Star Taxi,True,False
188,0.47,8.0,2.93,0.0,10.93,Mobile,City Service,False,True
1067,11.53,29.75,6.85,4.0,41.1,Credit Card,Blue Ribbon Taxi Association,True,False
645,1.77,8.5,0.0,0.0,8.5,Prcard,Flash Cab,False,True
2488,15.35,35.91,6.88,0.0,42.79,Mobile,Chicago Independents,False,True
294,0.93,6.0,3.0,1.0,10.5,Credit Card,Taxicab Insurance Agency Llc,False,True
1560,0.9,37.5,5.0,4.0,46.5,Credit Card,Taxi Affiliation Services,False,False
787,2.64,10.07,2.67,0.0,12.74,Mobile,Star North Taxi Management Llc,True,True
3624,18.01,47.0,10.3,4.0,61.8,Credit Card,Medallion Leasin,False,True
1434,17.43,42.5,5.0,4.0,52.0,Credit Card,Sun Taxi,True,True
315,0.78,5.5,0.0,0.0,5.5,Cash,Medallion Leasin,True,True
538,1.66,8.25,2.0,0.0,10.75,Credit Card,City Service,False,True
1200,2.5,13.0,15.0,0.0,28.0,Credit Card,Top Cab Affiliation,True,True
960,2.9,11.75,0.0,0.0,11.75,Unknown,Taxi Affiliation Services,False,True
2873,17.76,44.5,7.35,4.0,56.35,Credit Card,Star North Taxi Management Llc,False,True
1435,13.08,33.0,7.5,4.0,45.0,Credit Card,Star North Taxi Management Llc,False,False
332,0.99,6.0,3.0,0.0,9.5,Credit Card,Chicago Independents,False,True
610,2.85,10.5,0.0,0.0,10.5,Cash,Flash Cab,False,True
479,1.86,10.0,2.6,0.0,12.6,Mobile,Chicago Independents,False,False
720,1.8,9.25,0.0,0.0,9.25,Cash,Taxi Affiliation Services,False,True
1223,11.42,30.5,0.0,0.0,30.5,Prcard,5 Star Taxi,False,False
1620,5.1,18.0,0.0,0.0,18.0,Cash,Choice Taxi Association,True,False
360,1.1,6.5,0.0,10.0,16.5,Credit Card,Taxi Affiliation Services,False,False
665,2.21,9.5,0.0,1.0,10.5,Cash,City Service,False,True
1800,29.0,46.0,10.0,4.0,60.0,Credit Card,U Taxicab,False,False
991,5.4,14.39,1.76,0.0,16.15,Mobile,City Service,False,False
225,0.35,8.0,1.0,0.0,9.0,Mobile,Taxicab Insurance Agency Llc,True,True
8,0.03,3.25,0.0,0.0,3.25,Cash,Taxicab Insurance Agency Llc,True,False
1074,12.42,31.75,0.0,0.0,31.75,Prcard,5 Star Taxi,False,True
716,5.63,16.5,2.55,0.0,19.55,Mobile,Sun Taxi,False,False
1860,17.5,43.25,0.0,2.0,45.25,Cash,Taxi Affiliation Services,False,True
727,1.49,8.75,4.0,0.0,13.25,Credit Card,Taxicab Insurance Agency Llc,False,True
540,0.1,8.75,0.0,1.0,9.75,Cash,Taxi Affiliation Services,True,True
2427,17.94,45.0,5.0,4.5,55.0,Credit Card,Sun Taxi,False,True
1763,6.42,21.0,6.12,3.0,30.62,Credit Card,Star North Taxi Management Llc,False,False
1855,8.88,27.5,0.0,0.0,27.5,Prcard,Medallion Leasin,True,True
618,4.6,13.75,3.65,4.0,21.9,Credit Card,Sun Taxi,False,True
517,2.03,8.0,0.97,0.0,8.97,Mobile,Medallion Leasin,True,False
2100,17.52,44.0,7.28,4.0,55.78,Credit Card,Koam Taxi Association,False,True
641,3.38,11.5,0.0,0.0,11.5,Prcard,Flash Cab,True,False
452,1.17,6.75,1.65,1.0,9.9,Mobile,City Service,True,True
540,1.8,8.5,0.0,0.0,8.5,Cash,Choice Taxi Association,False,True
2880,30.5,74.75,0.0,8.0,82.75,Cash,Taxi Affiliation Services,True,True
3120,17.2,43.75,9.65,4.0,57.4,Credit Card,Taxi Affiliation Services,False,True
342,1.37,10.0,2.53,0.0,12.53,Mobile,Flash Cab,False,True
3348,18.23,46.25,10.0,5.0,61.75,Credit Card,Chicago Independents,False,True
556,1.26,7.5,0.0,0.0,7.5,Cash,5 Star Taxi,False,True
720,1.6,8.75,3.0,0.0,11.75,Credit Card,Top Cab Affiliation,False,True
840,2.7,11.25,1.13,0.0,12.38,Credit Card,Chicago Independents,False,True
1980,17.2,43.5,12.0,4.0,59.5,Credit Card,Choice Taxi Association,False,True
2040,15.0,37.5,7.67,4.0,49.17,Credit Card,Taxi Affiliation Services,False,False
600,0.2,13.25,0.0,4.0,17.25,Cash,Taxi Affiliation Services,False,False
1200,0.1,13.25,2.75,0.0,16.0,Credit Card,Taxi Affiliation Services,False,True
1517,4.21,15.75,0.0,0.0,15.75,Cash,Medallion Leasin,False,True
1579,12.69,33.0,6.7,0.0,40.2,Credit Card,Flash Cab,False,True
561,1.65,8.0,1.98,0.0,9.98,Mobile,City Service,True,True
301,0.89,5.75,0.0,0.0,5.75,Cash,Flash Cab,False,True
16,0.1,3.25,0.0,0.0,3.25,Cash,Flash Cab,False,True
1191,2.2,11.5,0.0,0.0,11.5,Prcard,Flash Cab,False,True
1020,0.2,14.0,0.0,0.0,14.0,Unknown,Taxi Affiliation Services,False,True
860,12.27,31.25,0.0,0.0,31.25,Prcard,Flash Cab,True,True
1012,7.25,18.73,4.54,0.0,23.27,Mobile,Sun Taxi,False,True
1380,1.2,49.5,10.0,0.0,59.5,Credit Card,Taxi Affiliation Services,True,False
